Year,Tournamment,Team,Player,G,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,CP,Champs,Role
2019,Summer_Promotion,QTV Gaming,Nevan,9,6,3,66.7%,3.56,3.11,5.78,3,265.78,8.28,14.1,439,-,-,68.9%,26.2%,23.6%,4,"['Gangplank', 'Kayle', 'Yorick']",Top Laner
2019,Summer_Promotion,QTV Gaming,Zodiac,9,6,3,66.7%,0.56,4.22,8.11,2.05,39.33,1.22,8.2,254,-,-,63.9%,4.1%,13.7%,6,"['Thresh', 'Galio', 'Morgana']",Support
2019,Summer_Season,CERBERUS Esports (Vietnamese Team),RonOP,32,9,23,28.1%,0.56,3.06,5.31,1.92,42.91,1.24,7.7,223,-,-,56.8%,5.4%,13.1%,12,"['Lux', 'Braum', 'Nautilus']",Support
2019,Summer_Season,CERBERUS Esports (Vietnamese Team),Pot,26,7,19,26.9%,1.85,3.31,5.58,2.24,150.81,4.27,10.3,292,-,-,70.2%,17.5%,17.1%,10,"['Gragas', 'Jarvan IV', 'Sejuani']",Jungler
2019,Summer_Season,CERBERUS Esports (Vietnamese Team),Yado,20,4,16,20%,3.05,3.2,3.8,2.14,300.2,8.53,13.6,387,-,-,63.7%,28.4%,22.9%,11,"['Corki', 'Azir', 'Zoe']",Mid Laner
2019,Summer_Season,CERBERUS Esports (Vietnamese Team),LL,18,6,12,33.3%,2.33,2.94,4.28,2.25,319.44,9.03,14,397,-,-,54.3%,19.2%,22.7%,7,"['Aatrox', 'Camille', 'Jayce']",Top Laner
2019,Summer_Season,CERBERUS Esports (Vietnamese Team),EasyLove,17,3,14,17.6%,2.41,2.59,3.71,2.36,339.29,9.98,14.3,420,-,-,56.5%,22.3%,24.8%,9,"['Xayah', 'Sivir', ""Kai'Sa""]",Bot Laner
2019,Summer_Season,CERBERUS Esports (Vietnamese Team),Zeldris,15,6,9,40%,2.73,1.93,2.93,2.93,325.4,9.22,14.1,400,-,-,57.8%,27.9%,23.3%,7,"['Xayah', ""Kai'Sa"", 'Lucian']",Bot Laner
2019,Summer_Season,CERBERUS Esports (Vietnamese Team),YT,14,3,11,21.4%,2.21,3.64,2.57,1.31,265.36,7.9,12.2,362,-,-,59.8%,27.7%,22.1%,9,"['Camille', 'Aatrox', 'Rumble']",Top Laner
2019,Summer_Season,CERBERUS Esports (Vietnamese Team),Pake,12,5,7,41.7%,3.08,2,4.17,3.63,317.92,9.47,13.8,411,-,-,75%,31.9%,23.8%,6,"['Corki', 'Qiyana', 'Azir']",Mid Laner
2019,Summer_Season,CERBERUS Esports (Vietnamese Team),Success,3,2,1,66.7%,2.33,2.67,6.67,3.38,160,4.6,10.8,311,-,-,64.3%,16.7%,17.3%,3,"['Jarvan IV', 'Xin Zhao', 'Olaf']",Jungler
2019,Summer_Season,CERBERUS Esports (Vietnamese Team),Knight,3,0,3,0%,1.67,3.67,1.67,0.91,122.33,4.31,7.8,275,-,-,71.4%,35.7%,18%,2,"['Lee Sin', 'Elise']",Jungler
2019,Summer_Season,Dashing Buffalo,Bigkoro,36,19,17,52.8%,3.92,2.17,4.64,3.95,308.19,9.4,14.6,447,-,-,63.6%,29.1%,24.2%,11,"[""Kai'Sa"", 'Xayah', 'Lucian']",Bot Laner
2019,Summer_Season,Dashing Buffalo,Naul,36,19,17,52.8%,2.81,2.31,5,3.39,296,9.03,13.2,403,-,-,58.1%,20.9%,21.9%,14,"['Neeko', 'Zoe', 'Corki']",Mid Laner
2019,Summer_Season,Dashing Buffalo,Palette,36,19,17,52.8%,0.94,2.92,7.92,3.04,50.58,1.54,8.6,262,-,-,65.9%,7%,14.2%,12,"['Rakan', 'Tahm Kench', 'Yuumi']",Support
2019,Summer_Season,Dashing Buffalo,Raizo,34,19,15,55.9%,3.44,3.5,3.21,1.9,275.79,8.48,13,399,-,-,50.7%,26.2%,21.7%,10,"['Vladimir', 'Kennen', 'Akali']",Top Laner
2019,Summer_Season,Dashing Buffalo,Meliodas,30,16,14,53.3%,2.23,2.5,6.77,3.6,169.7,5.18,11,336,-,-,69.2%,17.2%,18.3%,10,"['Jarvan IV', 'Gragas', 'Olaf']",Jungler
2019,Summer_Season,Dashing Buffalo,Xuhao,6,3,3,50%,2.83,2.33,6.67,4.07,153.5,4.65,10.8,326,-,-,60.6%,18.1%,17.1%,4,"['Sejuani', ""Rek'Sai"", 'Elise']",Jungler
2019,Summer_Season,Dashing Buffalo,Kaido,2,0,2,0%,3.5,6,4.5,1.33,279.5,7.51,14.3,384,-,-,42.1%,18.4%,19.7%,2,"['Aatrox', 'Irelia']",Top Laner
2019,Summer_Season,EVOS Esports,Dia1,33,16,17,48.5%,3.12,2.36,4.39,3.18,304.03,9.44,13.6,423,-,-,63.3%,26.3%,23.4%,13,"['Neeko', 'Camille', 'Sylas']",Mid Laner
2019,Summer_Season,EVOS Esports,Sorn,32,16,16,50%,2.81,2.31,5.78,3.72,160.22,4.97,10.8,334,-,-,72.2%,23.6%,18.4%,10,"['Sejuani', 'Gragas', ""Rek'Sai""]",Jungler
2019,Summer_Season,EVOS Esports,Biob,20,11,9,55%,0.7,2.3,7.9,3.74,34.6,1.07,7.8,240,-,-,68%,5.5%,13.1%,9,"['Yuumi', 'Nautilus', 'Lux']",Support
2019,Summer_Season,EVOS Esports,Noway,19,8,11,42.1%,3,1.53,3.26,4.1,314.58,9.27,14.2,420,-,-,55.9%,26.8%,23.8%,7,"['Lucian', 'Xayah', 'Ezreal']",Bot Laner
2019,Summer_Season,EVOS Esports,But1,16,8,8,50%,1.69,2.94,3.31,1.7,257.88,8.04,11.9,371,-,-,44.2%,14.9%,20.7%,8,"['Neeko', 'Renekton', 'Jayce']",Top Laner
2019,Summer_Season,EVOS Esports,Divkid,16,8,8,50%,4,2.56,4.31,3.24,297.44,9.82,13.8,454,-,-,67.5%,32.5%,24.6%,7,"['Xayah', ""Kai'Sa"", 'Varus']",Bot Laner
2019,Summer_Season,EVOS Esports,Mias,11,6,5,54.5%,1.55,2.45,4.55,2.48,252.45,8.02,11.9,377,-,-,48.6%,12.3%,20.3%,9,"['Aatrox', 'Irelia', 'Renekton']",Top Laner
2019,Summer_Season,EVOS Esports,Hai,11,5,6,45.5%,0.45,2.64,6.82,2.76,25.64,0.81,7.3,232,-,-,66.1%,4.1%,12.8%,6,"['Alistar', 'Braum', 'Morgana']",Support
2019,Summer_Season,EVOS Esports,Coyote,6,2,4,33.3%,1.67,3.67,4.67,1.73,253.5,7.5,11.7,345,-,-,52.1%,13.7%,19.6%,4,"['Karma', 'Neeko', 'Irelia']",Top Laner
2019,Summer_Season,EVOS Esports,Cacon,1,0,1,0%,5,2,0,2.5,142,4.74,9.7,324,-,-,45.5%,45.5%,19.8%,1,['Lee Sin'],Jungler
2019,Summer_Season,FTV Esports,Bie,35,13,22,37.1%,0.89,2.4,7.34,3.43,29.46,0.89,8.1,246,-,-,70.6%,7.6%,13.8%,11,"['Morgana', 'Lux', 'Thresh']",Support
2019,Summer_Season,FTV Esports,Rika,35,13,22,37.1%,2.51,3.09,3.97,2.1,273.09,8.27,12.7,385,-,-,55.6%,21.6%,21.7%,15,"['Camille', 'Poppy', 'Ryze']",Top Laner
2019,Summer_Season,FTV Esports,Kuroko,29,11,18,37.9%,2.69,3.1,4.66,2.37,196.28,5.92,11.3,340,-,-,65.5%,24%,19.2%,14,"['Jarvan IV', 'Gragas', 'Elise']",Jungler
2019,Summer_Season,FTV Esports,Police,29,10,19,34.5%,3.52,2.07,4.1,3.68,335.07,10.03,14.8,444,-,-,68%,31.4%,25%,6,"['Lucian', ""Kai'Sa"", 'Xayah']",Bot Laner
2019,Summer_Season,FTV Esports,Victory,28,11,17,39.3%,2.61,3.29,3.96,2,291.04,8.94,13,398,-,-,60.7%,24.1%,22.4%,11,"['Yasuo', 'Jayce', 'Ryze']",Mid Laner
2019,Summer_Season,FTV Esports,MeoCon,15,5,10,33.3%,1.93,3.6,7.67,2.67,167.67,5.16,10.6,327,-,-,67.9%,13.7%,18.1%,4,"['Jarvan IV', 'Sejuani', 'Gragas']",Jungler
2019,Summer_Season,FTV Esports,Tiger,4,2,2,50%,1.75,2.5,5.5,2.9,261,7.68,11.9,351,-,-,49.2%,11.9%,20%,2,"['Neeko', ""Vel'Koz""]",Support
2019,Summer_Season,GAM Esports,Levi,31,23,8,74.2%,4.55,2.32,8.32,5.54,195.55,5.98,12.6,385,-,-,70.9%,25%,20.3%,9,"['Gragas', 'Lee Sin', 'Elise']",Jungler
2019,Summer_Season,GAM Esports,Slay,31,23,8,74.2%,1.16,2.26,10.68,5.24,28.42,0.87,8.4,256,-,-,65.2%,6.4%,13.5%,9,"['Lux', 'Yuumi', 'Galio']",Support
2019,Summer_Season,GAM Esports,Kiaya,27,19,8,70.4%,3.78,2.48,6,3.94,271.37,8.36,13.2,408,-,-,54.3%,21%,21.5%,11,"['Renekton', 'Aatrox', 'Irelia']",Top Laner
2019,Summer_Season,GAM Esports,Yoshino,18,16,2,88.9%,5.5,2.78,6.78,4.42,271.78,8.53,14.3,450,-,-,65.2%,29.2%,23.4%,10,"['Irelia', 'Camille', 'Fiora']",Bot Laner
2019,Summer_Season,GAM Esports,Hieu3,17,10,7,58.8%,3.76,2.47,6.94,4.33,245.88,7.9,12.1,388,-,-,65%,22.9%,20.9%,9,"['Neeko', ""Kai'Sa"", 'Heimerdinger']",Mid Laner
2019,Summer_Season,GAM Esports,Zin,14,13,1,92.9%,3.86,1.43,6.14,7,292.5,8.44,14.1,408,-,-,49.5%,19.1%,20.9%,8,"['Ezreal', 'Vladimir', 'Lucian']",Bot Laner
2019,Summer_Season,GAM Esports,Zeros,14,11,3,78.6%,4.14,3.07,6,3.3,320.43,9.51,15.1,448,-,-,54.4%,22.2%,23.4%,7,"['Renekton', 'Akali', 'Irelia']",Top Laner
2019,Summer_Season,GAM Esports,Minas,3,0,3,0%,3,3,5.33,2.78,355.67,9.94,15.2,424,-,-,62.5%,22.5%,24.3%,2,"['Sivir', ""Kai'Sa""]",Bot Laner
2019,Summer_Season,Lowkey Esports.Vietnam,Artifact,32,20,12,62.5%,3.88,2.69,5.38,3.44,257.38,8.49,12.6,416,-,-,62.7%,26.3%,22.7%,14,"['Irelia', 'Azir', 'Corki']",Mid Laner
2019,Summer_Season,Lowkey Esports.Vietnam,Celebrity,32,20,12,62.5%,3.69,2.06,5.13,4.27,284.41,9.38,13.6,448,-,-,59.7%,25%,24.5%,10,"['Xayah', 'Ezreal', 'Caitlyn']",Bot Laner
2019,Summer_Season,Lowkey Esports.Vietnam,Venus,32,20,12,62.5%,1.06,2.75,8.16,3.35,31.38,1.03,7.7,254,-,-,62.5%,7.2%,13.9%,11,"['Nautilus', 'Lux', 'Rakan']",Support
2019,Summer_Season,Lowkey Esports.Vietnam,DNK,31,20,11,64.5%,3.77,2.35,6.13,4.21,157.94,5.18,10.9,356,-,-,67.2%,25.6%,19.4%,10,"['Gragas', 'Sylas', 'Nidalee']",Jungler
2019,Summer_Season,Lowkey Esports.Vietnam,Hani,31,19,12,61.3%,2.16,2.32,4.58,2.9,214.42,7.09,10.7,353,-,-,46.7%,15%,19.3%,12,"['Neeko', 'Renekton', 'Aatrox']",Top Laner
2019,Summer_Season,Lowkey Esports.Vietnam,KingJ,1,1,0,100%,10,4,8,4.5,264,8.01,16.1,489,-,-,75%,41.7%,24.1%,1,['Camille'],Top Laner
2019,Summer_Season,Lowkey Esports.Vietnam,Kaiz,1,0,1,0%,2,8,8,1.25,101,3.95,7.8,307,-,-,66.7%,13.3%,18.6%,1,['Trundle'],Jungler
2019,Summer_Season,QTV Gaming,Genza,33,12,21,36.4%,2.94,3.03,4.24,2.37,306.85,9.41,13.5,415,-,-,67.9%,27.8%,23.2%,12,"['Neeko', 'Corki', 'Irelia']",Mid Laner
2019,Summer_Season,QTV Gaming,Jisoo,33,12,21,36.4%,2.97,2.42,3.82,2.8,313.79,9.62,13.9,427,-,-,64.2%,28.1%,23.9%,8,"[""Kai'Sa"", 'Xayah', 'Lucian']",Bot Laner
2019,Summer_Season,QTV Gaming,Zodiac,33,12,21,36.4%,0.36,2.58,7,2.86,37.12,1.14,8,245,-,-,69.6%,3.4%,13.7%,9,"['Braum', 'Yuumi', 'Karma']",Support
2019,Summer_Season,QTV Gaming,Ciel,31,11,20,35.5%,2.16,3.06,5.74,2.58,151.71,4.63,10.2,311,-,-,73.8%,20.2%,17.4%,6,"['Jarvan IV', 'Sejuani', ""Rek'Sai""]",Jungler
2019,Summer_Season,QTV Gaming,Hiro,25,10,15,40%,2.48,3.4,2.88,1.58,289.04,8.99,12.8,397,-,-,51.3%,23.8%,22.1%,7,"['Aatrox', 'Irelia', 'Camille']",Top Laner
2019,Summer_Season,QTV Gaming,Nevan,10,3,7,30%,1.3,3.2,4.1,1.69,249,7.5,11.9,359,-,-,51.4%,12.4%,20.3%,9,"['Gnar', 'Karma', 'Kled']",Top Laner
2019,Summer_Season,Team Flash.Vietnam,Optimus,38,23,15,60.5%,3.16,2.42,4.76,3.27,256.39,8.68,11.9,404,-,-,54.8%,21.9%,21.3%,16,"['Corki', 'Azir', 'Syndra']",Mid Laner
2019,Summer_Season,Team Flash.Vietnam,CBL,38,23,15,60.5%,0.89,2.58,8.61,3.68,30.74,1.04,7.4,252,-,-,65.8%,6.2%,13.3%,12,"['Thresh', 'Lux', 'Yuumi']",Support
2019,Summer_Season,Team Flash.Vietnam,Yijin,38,23,15,60.5%,3.21,2.87,6.76,3.48,162.29,5.5,10.7,364,-,-,69%,22.2%,19.2%,10,"['Gragas', 'Sylas', 'Lee Sin']",Jungler
2019,Summer_Season,Team Flash.Vietnam,Slayder,33,20,13,60.6%,4.88,1.76,4.27,5.21,301.18,10.21,14.2,480,-,-,62.7%,33.4%,25.3%,7,"[""Kai'Sa"", 'Xayah', 'Ezreal']",Bot Laner
2019,Summer_Season,Team Flash.Vietnam,Taurus,19,12,7,63.2%,2.42,2.58,4.63,2.73,231.21,8.11,11.1,388,-,-,50.8%,17.4%,20.7%,7,"['Jayce', 'Rumble', 'Irelia']",Top Laner
2019,Summer_Season,Team Flash.Vietnam,Stark,19,11,8,57.9%,2.68,2.32,4.05,2.91,262.11,8.59,12.5,409,-,-,44.9%,17.9%,21.4%,7,"['Aatrox', 'Camille', 'Jayce']",Top Laner
2019,Summer_Season,Team Flash.Vietnam,Artemis,5,3,2,60%,3,2.2,4.2,3.27,305.2,10.28,13.4,452,-,-,53.7%,22.4%,24.4%,3,"['Lucian', 'Ezreal', ""Kai'Sa""]",Bot Laner
2019,Summer_Playoffs,Dashing Buffalo,Bigkoro,7,1,6,14.3%,2.86,2.57,3.43,2.44,306.57,9.54,13.8,428,-,-,57.9%,26.3%,24.9%,3,"['Xayah', ""Kai'Sa"", 'Varus']",Bot Laner
2019,Summer_Playoffs,Dashing Buffalo,Raizo,7,1,6,14.3%,2.71,4,3.43,1.54,252.14,7.84,12,372,-,-,56.6%,25%,21.7%,4,"['Irelia', 'Aatrox', 'Kennen']",Top Laner
2019,Summer_Playoffs,Dashing Buffalo,Naul,7,1,6,14.3%,2.71,2.57,5,3,258.29,8.03,11.7,363,-,-,71.1%,25%,21.2%,4,"['Karma', 'LeBlanc', 'Lissandra']",Mid Laner
2019,Summer_Playoffs,Dashing Buffalo,Palette,7,1,6,14.3%,0.86,3.43,6.29,2.08,40.71,1.27,7.9,245,-,-,65.8%,7.9%,14.3%,3,"['Rakan', 'Volibear', 'Braum']",Support
2019,Summer_Playoffs,Dashing Buffalo,Xuhao,4,1,3,25%,1.25,5,7.5,1.75,139,4.01,10.3,296,-,-,72.9%,10.4%,17.1%,4,"['Kindred', 'Gragas', 'Skarner']",Jungler
2019,Summer_Playoffs,Dashing Buffalo,Meliodas,3,0,3,0%,2.33,3.67,3.33,1.55,143,4.97,9.4,325,-,-,60.7%,25%,19.2%,2,"['Lee Sin', ""Rek'Sai""]",Jungler
2019,Summer_Playoffs,GAM Esports,Kiaya,6,6,0,100%,4.83,2.67,10.17,5.63,235.5,7.71,13,426,-,-,54.2%,17.5%,20.5%,3,"['Kled', 'Renekton', 'Tristana']",Mid Laner
2019,Summer_Playoffs,GAM Esports,Levi,6,6,0,100%,6.83,2,11.33,9.08,198.17,6.49,13.3,435,-,-,65.7%,24.7%,20.9%,4,"['Gragas', 'Sylas', 'Lee Sin']",Jungler
2019,Summer_Playoffs,GAM Esports,Zeros,6,6,0,100%,8.17,2.67,7,5.69,300.17,9.83,15.7,514,-,-,54.8%,29.5%,24.7%,5,"['Renekton', 'Akali', 'Jax']",Top Laner
2019,Summer_Playoffs,GAM Esports,Zin,6,6,0,100%,5.83,3,7.5,4.44,205.17,6.72,12.1,396,-,-,48.2%,21.1%,19%,3,"['Garen', 'Vladimir', 'Tristana']",Bot Laner
2019,Summer_Playoffs,GAM Esports,Hieu3,3,3,0,100%,1,1.67,11.67,7.6,67.33,2.09,9.5,295,-,-,53.5%,4.2%,14.1%,2,"['Yuumi', 'Volibear']",Support
2019,Summer_Playoffs,GAM Esports,Slay,3,3,0,100%,3,2,18,10.5,55.33,1.92,9.4,327,-,-,66.3%,9.5%,15.7%,2,"['Volibear', 'Yuumi']",Support
2019,Summer_Playoffs,Lowkey Esports.Vietnam,Artifact,10,6,4,60%,4.3,3.2,6.5,3.38,235.3,8.04,12,409,-,-,67.9%,27%,21.9%,8,"['Yasuo', 'Qiyana', 'Jayce']",Mid Laner
2019,Summer_Playoffs,Lowkey Esports.Vietnam,Celebrity,10,6,4,60%,3.8,3.1,6.5,3.32,263.7,9.01,13.2,450,-,-,64.8%,23.9%,24%,5,"['Caitlyn', 'Tristana', 'Varus']",Bot Laner
2019,Summer_Playoffs,Lowkey Esports.Vietnam,DNK,10,6,4,60%,3.8,3,7.8,3.87,143.6,4.9,10.6,362,-,-,73%,23.9%,19.4%,5,"['Sylas', 'Gragas', 'Olaf']",Jungler
2019,Summer_Playoffs,Lowkey Esports.Vietnam,Hani,10,6,4,60%,2.5,3.5,4.7,2.06,216.4,7.39,11,376,-,-,45.3%,15.7%,20.1%,8,"['Camille', 'Kled', 'Irelia']",Top Laner
2019,Summer_Playoffs,Lowkey Esports.Vietnam,Venus,10,6,4,60%,1.5,3.1,10.3,3.81,32,1.09,8,272,-,-,74.2%,9.4%,14.6%,6,"['Morgana', 'Pyke', 'Nautilus']",Support
2019,Summer_Playoffs,Team Flash.Vietnam,Optimus,11,4,7,36.4%,2.09,3.18,6.73,2.77,262.09,8.16,12.2,379,-,-,65.5%,15.5%,20.9%,6,"['Syndra', 'Karma', 'Neeko']",Mid Laner
2019,Summer_Playoffs,Team Flash.Vietnam,Stark,11,4,7,36.4%,2.64,4.18,4.82,1.78,254,7.91,12.7,394,-,-,55.4%,19.6%,21.7%,5,"['Aatrox', 'Renekton', 'Camille']",Top Laner
2019,Summer_Playoffs,Team Flash.Vietnam,Yijin,11,4,7,36.4%,3.18,3.64,7.18,2.85,167.45,5.21,11.1,345,-,-,77%,23.6%,19%,4,"['Nidalee', 'Sylas', 'Sejuani']",Jungler
2019,Summer_Playoffs,Team Flash.Vietnam,Hinn,8,4,4,50%,0.63,2.63,9.63,3.9,34.13,1.06,8.3,257,-,-,68.9%,4.2%,13.7%,7,"['Morgana', 'Nautilus', 'Rakan']",Support
2019,Summer_Playoffs,Team Flash.Vietnam,Slayder,8,2,6,25%,4.75,3.13,3,2.48,312.25,9.65,14.7,456,-,-,66%,40.4%,25.7%,3,"[""Kai'Sa"", 'Xayah', 'Lucian']",Bot Laner
2019,Summer_Playoffs,Team Flash.Vietnam,Artemis,3,2,1,66.7%,5.33,4.67,4.33,2.07,264,8.38,13.8,437,-,-,53.7%,29.6%,22.5%,3,"[""Kai'Sa"", 'Lucian', 'Xayah']",Bot Laner
2019,Summer_Playoffs,Team Flash.Vietnam,CBL,3,0,3,0%,0.67,5.67,6,1.18,43,1.35,7.1,224,-,-,69%,6.9%,13.3%,2,"['Nautilus', 'Gragas']",Support
2020,Spring_Promotion,Adonis Esports,BioB,10,6,4,60%,1.4,3.4,9.1,3.09,31.2,0.98,7.7,241,-,-,63.6%,8.5%,13.1%,6,"['Leona', 'Thresh', 'Galio']",Support
2020,Spring_Promotion,Adonis Esports,PHT,10,6,4,60%,4.6,3.5,5.8,2.97,266.1,8.36,13.1,412,-,-,63%,27.9%,22.4%,9,"['Yasuo', 'Syndra', 'Ezreal']",Mid Laner
2020,Spring_Promotion,Adonis Esports,vit,10,6,4,60%,5.1,2.6,5.5,4.08,309.5,9.73,14.5,456,-,-,64.2%,30.9%,24.9%,6,"['Lucian', 'Tristana', 'Ezreal']",Bot Laner
2020,Spring_Promotion,Adonis Esports,Y1,10,6,4,60%,2.9,3.8,7.6,2.76,165.8,5.21,10.5,329,-,-,63.6%,17.6%,17.9%,6,"['Elise', ""Rek'Sai"", 'Olaf']",Jungler
2020,Spring_Promotion,Adonis Esports,CHP,9,6,3,66.7%,2.56,2.33,6.11,3.71,265,8.18,12.9,398,-,-,51.3%,15.1%,21.5%,8,"['Gangplank', 'Ornn', 'Mordekaiser']",Top Laner
2020,Spring_Promotion,Adonis Esports,Django,1,0,1,0%,2,4,3,1.25,206,7.72,10.2,383,-,-,38.5%,15.4%,23.3%,1,['Kayle'],Top Laner
2020,Spring_Promotion,CERBERUS Esports (Vietnamese Team),LL,6,6,0,100%,6.17,1.17,5.5,10,260.17,8.89,13.8,472,-,-,58.8%,31.1%,24.1%,4,"['Aatrox', 'Irelia', 'Ryze']",Top Laner
2020,Spring_Promotion,CERBERUS Esports (Vietnamese Team),RonOP,6,6,0,100%,0.5,1.5,11.67,8.11,34,1.16,7.2,247,-,-,61.3%,2.5%,12.6%,2,"['Leona', 'Nautilus']",Support
2020,Spring_Promotion,CERBERUS Esports (Vietnamese Team),XuHao,6,6,0,100%,4,2.33,7.67,5,152.33,5.21,10.4,356,-,-,58.8%,20.2%,18.2%,2,"[""Rek'Sai"", 'Elise']",Jungler
2020,Spring_Promotion,CERBERUS Esports (Vietnamese Team),Yado,6,6,0,100%,4.33,1.17,8.67,11.14,252.5,8.63,12.2,418,-,-,65.5%,21.8%,21.3%,5,"['Ryze', 'Orianna', 'Rumble']",Mid Laner
2020,Spring_Promotion,CERBERUS Esports (Vietnamese Team),Zeldris,4,4,0,100%,5,1,5.75,10.75,300.5,9.98,13.8,459,-,-,53.8%,25%,23.6%,2,"[""Kai'Sa"", 'Lucian']",Bot Laner
2020,Spring_Promotion,CERBERUS Esports (Vietnamese Team),Artemis,2,2,0,100%,4.5,2,8.5,6.5,276.5,10.02,13.4,484,-,-,66.7%,23.1%,24.4%,2,"['Xayah', ""Kai'Sa""]",Bot Laner
2020,Spring_Promotion,QTV Gaming,Genza,12,4,8,33.3%,2.5,3.67,5.5,2.18,246.08,8.15,11.4,379,-,-,59.3%,18.5%,21.7%,9,"['Ryze', 'Tristana', 'Syndra']",Mid Laner
2020,Spring_Promotion,QTV Gaming,Hiro,12,4,8,33.3%,4.08,3.67,3.75,2.14,271.42,8.99,12.6,418,-,-,58%,30.2%,23.9%,6,"['Camille', 'Irelia', 'Aatrox']",Top Laner
2020,Spring_Promotion,QTV Gaming,Jisoo,12,4,8,33.3%,4,2.67,4.58,3.22,262.5,8.7,12.5,415,-,-,63.6%,29.6%,23.7%,5,"['Lucian', ""Kai'Sa"", 'Kalista']",Bot Laner
2020,Spring_Promotion,QTV Gaming,Zodiac,12,4,8,33.3%,0.83,4.33,7.75,1.98,36.5,1.21,7.1,234,-,-,63.6%,6.2%,13.4%,6,"['Leona', 'Braum', 'Alistar']",Support
2020,Spring_Promotion,QTV Gaming,Kaiz,11,4,7,36.4%,2.18,3.91,6.82,2.3,142.73,4.7,9.2,303,-,-,63.9%,15.5%,17.2%,7,"['Lee Sin', 'Jarvan IV', 'Gragas']",Jungler
2020,Spring_Promotion,QTV Gaming,Ciel,1,0,1,0%,1,3,3,1.33,164,5.86,8.4,299,-,-,57.1%,14.3%,18.7%,1,['Lee Sin'],Jungler
2020,Spring_Promotion,Super Guy Destroys,Mature,8,2,6,25%,2.75,3.25,4.75,2.31,235.5,7.87,11.6,387,-,-,47.2%,17.3%,21.7%,5,"['Jax', 'Renekton', 'Akali']",Top Laner
2020,Spring_Promotion,Super Guy Destroys,Kati,8,2,6,25%,4.25,3,6.38,3.54,252,8.42,12.5,417,-,-,66.9%,26.8%,23.4%,6,"['Ryze', 'Yasuo', 'Orianna']",Mid Laner
2020,Spring_Promotion,Super Guy Destroys,Style,8,2,6,25%,4,4.5,4.88,1.97,255.25,8.53,12.5,417,-,-,55.9%,25.2%,23.4%,5,"['Tristana', 'Lucian', 'Syndra']",Bot Laner
2020,Spring_Promotion,Super Guy Destroys,Tear,8,2,6,25%,1,4.13,8.25,2.24,30.75,1.03,7.1,236,-,-,58.3%,6.3%,13.2%,5,"['Galio', 'Leona', 'Poppy']",Support
2020,Spring_Promotion,Super Guy Destroys,DK,6,2,4,33.3%,3.33,4.67,9.17,2.68,131,4.45,9.5,324,-,-,78.1%,20.8%,18.2%,4,"['Gragas', 'Lee Sin', 'Elise']",Jungler
2020,Spring_Promotion,Super Guy Destroys,TL,2,0,2,0%,5.5,2.5,6.5,4.8,142,4.5,10.1,321,-,-,77.4%,35.5%,18.2%,2,"[""Rek'Sai"", 'Lee Sin']",Jungler
2020,Spring_Season,CERBERUS Esports (Vietnamese Team),Artemis,34,17,17,50%,4.24,2.65,6.41,4.02,305.76,9.98,14.2,463,-,-,71%,28.2%,25.9%,10,"['Miss Fortune', 'Aphelios', 'Xayah']",Bot Laner
2020,Spring_Season,CERBERUS Esports (Vietnamese Team),Ronop,34,17,17,50%,1.09,2.74,9.18,3.75,31.24,1.02,7.4,240,-,-,68.4%,7.3%,13.4%,10,"['Thresh', 'Leona', 'Taric']",Support
2020,Spring_Season,CERBERUS Esports (Vietnamese Team),Xuhao,34,17,17,50%,2.71,3.26,8.09,3.31,150.21,4.9,9.9,324,-,-,72%,18%,18.1%,10,"['Jarvan IV', 'Elise', ""Rek'Sai""]",Jungler
2020,Spring_Season,CERBERUS Esports (Vietnamese Team),Yado,34,17,17,50%,4.18,2.56,5.53,3.79,239.53,7.82,11.8,387,-,-,64.7%,27.8%,21.7%,13,"['Zoe', 'Orianna', 'Akali']",Mid Laner
2020,Spring_Season,CERBERUS Esports (Vietnamese Team),LL,29,16,13,55.2%,3,3.38,6.21,2.72,223.97,7.32,11.4,373,-,-,57.3%,18.7%,20.6%,8,"['Renekton', 'Mordekaiser', 'Ornn']",Top Laner
2020,Spring_Season,CERBERUS Esports (Vietnamese Team),yT,5,1,4,20%,1.6,3.8,4.6,1.63,227,7.36,11.2,365,-,-,70.5%,18.2%,22.5%,4,"['Gangplank', 'Sylas', 'Aatrox']",Top Laner
2020,Spring_Season,Dashing Buffalo,Bigkoro,34,14,20,41.2%,2.5,2.26,5.29,3.44,234.71,7.73,11.7,385,-,-,63.2%,20.3%,22.6%,7,"['Senna', 'Aphelios', 'Miss Fortune']",Bot Laner
2020,Spring_Season,Dashing Buffalo,Naul,34,14,20,41.2%,2.65,1.88,4.53,3.81,248.38,8.18,11.3,373,-,-,58.2%,21.5%,21.9%,12,"['Rumble', 'Zoe', 'Ryze']",Mid Laner
2020,Spring_Season,Dashing Buffalo,Meliodas,26,11,15,42.3%,2.65,2.77,6.35,3.25,168.5,5.52,10.1,332,-,-,70.3%,20.7%,19.3%,8,"['Elise', 'Lee Sin', 'Trundle']",Jungler
2020,Spring_Season,Dashing Buffalo,Hasmed,23,11,12,47.8%,4.48,3.96,3.87,2.11,239.87,7.86,12.1,396,-,-,60%,32.2%,22.7%,13,"['Mordekaiser', 'Akali', 'Irelia']",Top Laner
